event,date,status,department,institution,categories
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,human biology and society,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Psychology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,IoES,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Health Policy and Management,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Health Policy and Management,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Econ,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Political Science,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,MCDB,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Psychiatry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Public Policy,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Statistics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,American Indian Studies,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Intercampus Student from Berkeley Haas / UCLA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Ecology and Evolutionary Biology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Oral Biology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,Psychiatry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Research staff,Lewis Center for Regional Policy Studies (Luskin School),NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Health Policy and Management,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Staff,"Medicine, Dermatology",NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Epidemiology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Lab Assistant,Medicine,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Staff,Psychology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Epi,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Dermatology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,MFE,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,"Psych, Biomedical Research",NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Education,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,IoES,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,MIMG,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Resident Physician,Neurology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,IoES,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Epidemiology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Economics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Sociology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,EMBA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Project Scientist,MIMG,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Chemistry and Biochemistry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Mechanical and Aerospace Engineering,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Political Science,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Institute of the Environment and Sustainability,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Information Studies,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Public Policy,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,ESE Program,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Education,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Public Health,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,NA,Not affiliated with the university,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Maze Therapeutics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,CEE,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Linguistics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Public Health,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,MAE,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Community Health Sciences,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,Human Genetics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Medicine,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Community Health Sciences,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Epidemiology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Civil and Environmental Engineering,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Mechanical Engineering,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,MBA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Cedars-Sinai,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,MAE,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Special Education,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Medicine,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Community Health Sciences,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Psychiatry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Alumni,IoES,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Social Welfare,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Chemistry and Biochemistry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Bioengineering,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,International Development Studies,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,NOAA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Research assistant,Marine Chemistry & Geochemistry,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Bioinformatics,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,NA,Center for Coastal Studies,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Protected Species Branch - Northeast Fisheries Science Center,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,MaSS,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,IoES,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Staff,NEFSC for NOAA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Postdoc,Neurobiology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,Anderson,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Psychology,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Undergraduate Student,Geography,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Staff,Fisheries Monitoring and Assessment,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,"Fisheries Science Branch, NOAA",NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Northeast Fisheries Science Center - Cooperative Research Branch,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Intern,Marine Science,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,Data management,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Research staff,Northeast Fisheries Science Center - Cooperative Research Branch,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Fisheries Biologist,NOAA/NMFS,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Data editor,Fisheries Observer Program (NEFOP),NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Graduate Student,"Northeastern University (NU), RI DEM Division of Marine Fisheries (RI DMF)",NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-10T00:00:00Z,Faculty,OB/GYN,NA,R (programming language)
Tidy Tuesday: Open Lab for Data Cleaning,2020-04-14T00:00:00Z,NA,NA,NA,R (programming language)
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Librarian,Library,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Faculty,Geffen Academy,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Information Studies,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Staff,Medicine,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Staff,Medicine,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Political Science,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Institute of the Environment and Sustainability,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,"Sociology Department, Environmental Systems and Society Minor",NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Atmospheric & Oceanic Sciences,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,IoES,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Sustainable Los Angeles Grand Challenges Undergraduate Research Scholars Program,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,IoES,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Staff,OIT/IDRE,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Postdoc,Semel,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Postdoc,Ophthalmology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Education,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Postdoc,Psychiatry,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Clinical Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Sociology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Law School,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Epidemiology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Human Genetics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Public Policy,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Bioengineering,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Project Scientist,Dentistry,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Geography,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Public Health,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Data Theory,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Education,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Graduate School of Education & Information Studies,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Public Policy,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Neuroscience,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Business economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Geography,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Pre Business Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Molecular Toxicology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Staff,Epidemiology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Geography,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,N/A,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Political Science,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Neuroscience,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Epidemiology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Statistics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,International Institute,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Urban & Regional Planning,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Chicana/o Studies,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Faculty,CEE,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,World Arts and Cultures/Dance,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,School of the Arts and Architecture,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Public Policy,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Epidemiology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,materials science,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Anderson,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,College of Letters and Sciences,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Postdoc,Pediatrics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Spanish & Portuguese,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Staff,Epidemiology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Political Science,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,MCIP,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Public Policy,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Graduate Student,Luskin School of Public Affairs,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Math,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Statistics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Economics,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Postdoc,Clinical Psychology,NA,"Data Cleaning, R (programming language)"
R Workshop Series: Spring 2020 (Online),2020-04-17T00:00:00Z,Undergraduate Student,Psychology,NA,"Data Cleaning, R (programming language)"
